date,order_id,region,channel,category,product,units,unit_price,revenue,refunded
2025-07-06,ORD-100031,Midwest,Wholesale,Outdoor,Trail Backpack,4,33.61,131.75,False
2025-07-06,ORD-100032,Midwest,Online,Home,Smart Plug,5,23.03,112.85,False
2025-07-06,ORD-100033,Northeast,In-Store,Home,LED Bulbs,4,27.38,109.52,False
2025-07-06,ORD-100034,Midwest,Online,Fashion,Beanie,1,39.29,38.5,False
2025-07-06,ORD-100035,South,In-Store,Electronics,Keyboard,2,57.4,117.1,False
2025-07-07,ORD-100036,South,In-Store,Outdoor,Hiking Poles,3,36.67,112.21,False
2025-07-07,ORD-100037,Northeast,In-Store,Fashion,Cap,2,27.13,54.26,False
2025-07-07,ORD-100038,Midwest,Wholesale,Fashion,Beanie,3,24.94,73.32,False
2025-07-07,ORD-100039,South,Online,Fashion,Beanie,2,25.13,51.27,False
2025-07-07,ORD-100040,South,In-Store,Outdoor,Tent Repair Kit,2,31.32,63.89,False
2025-07-07,ORD-100041,Midwest,In-Store,Fashion,Windbreaker,5,29.22,143.18,False
2025-07-07,ORD-100042,Northeast,Online,Fitness,Yoga Mat,2,29.24,58.48,False
2025-07-07,ORD-100043,Northeast,Online,Outdoor,Hiking Poles,5,37.78,188.9,False
2025-07-07,ORD-100044,Midwest,Wholesale,Home,Air Purifier Filter,3,19.2,56.45,False
2025-07-07,ORD-100045,Midwest,Online,Fitness,Protein Shaker,2,26.03,51.02,False
2025-07-07,ORD-100046,Northeast,Wholesale,Fashion,Beanie,5,28.94,144.7,False
2025-07-07,ORD-100047,South,In-Store,Outdoor,Trail Backpack,5,24.79,126.43,False
2025-07-07,ORD-100048,South,Wholesale,Fitness,Foam Roller,3,26.95,82.47,False
2025-07-07,ORD-100049,Midwest,Online,Electronics,Bluetooth Speaker,1,36.09,35.37,False
2025-07-07,ORD-100050,Northeast,Online,Electronics,Webcam,4,49.88,199.52,False
2025-07-07,ORD-100051,South,Wholesale,Outdoor,Water Bottle,5,30.91,157.64,False
2025-07-07,ORD-100052,Midwest,In-Store,Fitness,Resistance Bands,3,22.89,67.3,False
2025-07-07,ORD-100053,Midwest,In-Store,Fashion,Cap,5,36.37,178.21,False
2025-07-07,ORD-100054,South,Online,Home,Kitchen Scale,1,19.77,20.17,False
2025-07-07,ORD-100055,West,Wholesale,Home,Vacuum Filters,2,27.13,56.43,False
2025-07-07,ORD-100056,Midwest,In-Store,Home,Smart Plug,4,21.83,85.57,False
2025-07-07,ORD-100057,South,Online,Outdoor,Camping Lantern,4,27.46,112.04,False
2025-07-07,ORD-100058,Northeast,In-Store,Fashion,Cap,5,29.46,147.3,True
2025-07-07,ORD-100059,Northeast,Online,Fashion,Socks Pack,1,25.79,25.79,False
2025-07-07,ORD-100060,Northeast,In-Store,Fashion,Windbreaker,1,30.36,30.36,False
2025-07-07,ORD-100061,Northeast,Online,Electronics,USB-C Hub,5,58.91,294.55,False
2025-07-07,ORD-100062,South,In-Store,Electronics,USB-C Hub,3,51.42,157.35,False
2025-07-07,ORD-100063,Midwest,Wholesale,Fitness,Jump Rope,3,29.17,85.76,False
2025-07-07,ORD-100064,Northeast,Wholesale,Home,Smart Plug,4,25.65,102.6,False
2025-07-07,ORD-100065,South,Wholesale,Fashion,Socks Pack,4,33.04,134.8,True
2025-07-07,ORD-100066,Northeast,Online,Electronics,Webcam,5,52.2,261.0,False
2025-07-07,ORD-100067,West,Wholesale,Home,Air Purifier Filter,4,27.2,113.15,False
2025-07-07,ORD-100068,South,Wholesale,Outdoor,Water Bottle,5,32.62,166.36,False
2025-07-07,ORD-100069,Midwest,Online,Fitness,Foam Roller,2,22.03,43.18,False
2025-07-07,ORD-100070,West,Wholesale,Outdoor,Hiking Poles,4,36.05,149.97,False
2025-07-08,ORD-100071,West,In-Store,Electronics,Wireless Charger,2,52.24,108.66,True
2025-07-08,ORD-100072,Midwest,In-Store,Home,Smart Plug,5,23.22,113.78,False
2025-07-08,ORD-100073,Midwest,In-Store,Home,Kitchen Scale,5,29.55,144.79,False
2025-07-08,ORD-100074,West,Wholesale,Fashion,Cap,5,31.36,163.07,False
2025-07-08,ORD-100075,West,In-Store,Fitness,Foam Roller,3,30.53,95.25,False
2025-07-08,ORD-100076,South,In-Store,Electronics,USB-C Hub,3,41.8,127.91,False
2025-07-08,ORD-100077,Midwest,Online,Home,Smart Plug,4,26.0,101.92,False
2025-07-08,ORD-100078,Midwest,In-Store,Electronics,Bluetooth Speaker,5,47.53,232.9,False
2025-07-08,ORD-100079,West,In-Store,Fashion,Beanie,5,30.28,157.46,True
2025-07-08,ORD-100080,Northeast,In-Store,Electronics,Keyboard,5,54.5,272.5,False
2025-07-08,ORD-100081,South,In-Store,Home,Vacuum Filters,4,23.48,95.8,False
2025-07-08,ORD-100082,West,Wholesale,Home,Kitchen Scale,2,29.47,61.3,False
2025-07-08,ORD-100083,West,Wholesale,Fashion,Beanie,1,34.61,35.99,False
2025-07-08,ORD-100084,West,Online,Outdoor,Water Bottle,4,27.44,114.15,False
2025-07-08,ORD-100085,Northeast,In-Store,Fitness,Yoga Mat,3,31.48,94.44,False
2025-07-08,ORD-100086,Midwest,In-Store,Home,LED Bulbs,1,26.73,26.2,False
2025-07-08,ORD-100087,South,Online,Fashion,Hoodie,2,26.08,53.2,False
2025-07-08,ORD-100088,South,In-Store,Fitness,Protein Shaker,2,28.33,57.79,False
2025-07-08,ORD-100089,Midwest,Online,Fitness,Resistance Bands,5,20.35,99.72,False
2025-07-08,ORD-100090,West,In-Store,Home,LED Bulbs,5,25.96,134.99,False
2025-07-08,ORD-100091,Midwest,Wholesale,Fitness,Jump Rope,1,30.95,30.33,False
2025-07-08,ORD-100092,Midwest,In-Store,Fashion,Cap,3,25.14,73.91,False
2025-07-08,ORD-100093,Midwest,In-Store,Electronics,USB-C Hub,4,59.78,234.34,False
2025-07-08,ORD-100094,West,Wholesale,Home,Kitchen Scale,2,26.48,55.08,False
2025-07-08,ORD-100095,Northeast,Wholesale,Fashion,Cap,4,31.19,124.76,False
2025-07-08,ORD-100096,Northeast,In-Store,Home,LED Bulbs,3,28.27,84.81,False
2025-07-08,ORD-100097,West,Wholesale,Fashion,Cap,3,24.47,76.35,False
2025-07-08,ORD-100098,South,In-Store,Home,Vacuum Filters,3,21.72,66.46,False
2025-07-08,ORD-100099,Northeast,Wholesale,Outdoor,Tent Repair Kit,2,23.72,47.44,False
2025-07-08,ORD-100100,West,Wholesale,Home,Kitchen Scale,4,23.02,95.76,True
2025-07-08,ORD-100101,Northeast,Online,Electronics,Wireless Charger,3,52.43,157.29,False
2025-07-08,ORD-100102,Northeast,In-Store,Fashion,Socks Pack,3,35.6,106.8,False
2025-07-08,ORD-100103,Northeast,Online,Outdoor,Camping Lantern,3,24.24,72.72,False
2025-07-08,ORD-100104,South,Online,Home,Kitchen Scale,3,26.37,80.69,False
2025-07-08,ORD-100105,Northeast,Online,Home,Vacuum Filters,2,21.97,43.94,False
2025-07-09,ORD-100106,South,In-Store,Outdoor,Trail Backpack,5,26.9,137.19,False
2025-07-09,ORD-100107,West,Online,Outdoor,Tent Repair Kit,3,29.63,92.45,False
2025-07-09,ORD-100108,South,Online,Fitness,Yoga Mat,1,31.3,31.93,False
2025-07-09,ORD-100109,Midwest,Wholesale,Outdoor,Camping Lantern,2,34.89,68.38,False
2025-07-09,ORD-100110,Midwest,Online,Outdoor,Tent Repair Kit,4,31.74,124.42,False
2025-07-09,ORD-100111,South,Wholesale,Electronics,Keyboard,4,43.36,176.91,False
2025-07-09,ORD-100112,West,In-Store,Fashion,Windbreaker,1,34.06,35.42,False
2025-07-09,ORD-100113,South,Wholesale,Home,Vacuum Filters,1,19.5,19.89,False
2025-07-09,ORD-100114,Midwest,Online,Outdoor,Hiking Poles,4,33.02,129.44,False
2025-07-09,ORD-100115,Midwest,Online,Fitness,Protein Shaker,4,20.98,82.24,False
2025-07-09,ORD-100116,Northeast,Wholesale,Fashion,Hoodie,4,25.89,103.56,False
2025-07-09,ORD-100117,South,In-Store,Home,LED Bulbs,1,19.61,20.0,False
2025-07-09,ORD-100118,Northeast,In-Store,Outdoor,Hiking Poles,3,33.18,99.54,False
2025-07-09,ORD-100119,West,In-Store,Outdoor,Tent Repair Kit,1,36.1,37.54,False
2025-07-09,ORD-100120,Northeast,Online,Outdoor,Camping Lantern,5,31.44,157.2,True
2025-07-09,ORD-100121,Northeast,Wholesale,Outdoor,Camping Lantern,4,30.39,121.56,False
2025-07-09,ORD-100122,Northeast,Online,Fashion,Cap,4,39.99,159.96,False
2025-07-09,ORD-100123,West,In-Store,Fitness,Resistance Bands,2,24.53,51.02,False
2025-07-09,ORD-100124,Northeast,Wholesale,Electronics,Webcam,1,47.26,47.26,False
2025-07-09,ORD-100125,Northeast,Online,Electronics,Webcam,1,52.28,52.28,False
2025-07-09,ORD-100126,West,Online,Home,Air Purifier Filter,3,25.13,78.41,False
2025-07-09,ORD-100127,West,Online,Home,Vacuum Filters,5,19.19,99.79,False
2025-07-09,ORD-100128,West,Online,Outdoor,Tent Repair Kit,2,33.33,69.33,False
2025-07-09,ORD-100129,Midwest,Wholesale,Electronics,USB-C Hub,2,60.56,118.7,False
2025-07-09,ORD-100130,West,Online,Home,Kitchen Scale,3,23.76,74.13,False
2025-07-09,ORD-100131,West,In-Store,Home,Kitchen Scale,5,19.35,100.62,False
2025-07-09,ORD-100132,South,Online,Fitness,Yoga Mat,3,32.85,100.52,False
2025-07-09,ORD-100133,Midwest,In-Store,Fitness,Jump Rope,5,33.73,165.28,False
2025-07-09,ORD-100134,South,In-Store,Fashion,Cap,3,29.49,90.24,False
2025-07-09,ORD-100135,West,In-Store,Fitness,Foam Roller,2,27.86,57.95,False
2025-07-09,ORD-100136,West,Online,Fitness,Yoga Mat,4,25.31,105.29,False
2025-07-09,ORD-100137,South,In-Store,Outdoor,Camping Lantern,5,37.27,190.08,False
2025-07-09,ORD-100138,Midwest,In-Store,Outdoor,Tent Repair Kit,4,22.64,88.75,False
2025-07-09,ORD-100139,South,Online,Electronics,Bluetooth Speaker,3,51.43,157.38,False
2025-07-09,ORD-100140,Midwest,In-Store,Fashion,Cap,3,34.34,100.96,False
2025-07-10,ORD-100141,West,Wholesale,Outdoor,Tent Repair Kit,1,26.02,27.06,False
2025-07-10,ORD-100142,Northeast,Online,Outdoor,Hiking Poles,1,34.11,34.11,False
2025-07-10,ORD-100143,Midwest,In-Store,Home,Vacuum Filters,1,18.16,17.8,False
2025-07-10,ORD-100144,Northeast,In-Store,Fitness,Yoga Mat,2,23.36,46.72,False
2025-07-10,ORD-100145,South,Online,Home,LED Bulbs,5,28.14,143.51,False
2025-07-10,ORD-100146,South,In-Store,Fashion,Hoodie,2,31.61,64.48,False
2025-07-10,ORD-100147,Northeast,Wholesale,Outdoor,Hiking Poles,3,32.84,98.52,False
2025-07-10,ORD-100148,West,In-Store,Fashion,Socks Pack,4,35.39,147.22,False
2025-07-10,ORD-100149,Northeast,Online,Electronics,Keyboard,1,41.87,41.87,False
2025-07-10,ORD-100150,Northeast,Wholesale,Fitness,Resistance Bands,4,23.77,95.08,False
2025-07-10,ORD-100151,Midwest,Wholesale,Electronics,Bluetooth Speaker,2,51.02,100.0,False
2025-07-10,ORD-100152,South,Wholesale,Fitness,Foam Roller,1,32.42,33.07,False
2025-07-10,ORD-100153,Northeast,In-Store,Outdoor,Tent Repair Kit,3,33.68,101.04,False
2025-07-10,ORD-100154,Northeast,In-Store,Electronics,Wireless Charger,2,39.27,78.54,False
2025-07-10,ORD-100155,Northeast,Wholesale,Fashion,Socks Pack,2,28.24,56.48,False
2025-07-10,ORD-100156,West,In-Store,Fitness,Resistance Bands,4,33.24,138.28,False
2025-07-10,ORD-100157,South,Wholesale,Electronics,Webcam,3,38.23,116.98,False
2025-07-10,ORD-100158,Northeast,Wholesale,Outdoor,Hiking Poles,3,32.76,98.28,False
2025-07-10,ORD-100159,West,Wholesale,Fitness,Resistance Bands,2,26.48,55.08,False
2025-07-10,ORD-100160,Northeast,Wholesale,Home,LED Bulbs,4,28.6,114.4,False
2025-07-10,ORD-100161,West,Online,Home,LED Bulbs,1,21.28,22.13,False
2025-07-10,ORD-100162,Midwest,Online,Fashion,Hoodie,4,31.49,123.44,False
2025-07-10,ORD-100163,West,Wholesale,Home,Kitchen Scale,1,27.69,28.8,False
2025-07-10,ORD-100164,Northeast,Online,Fitness,Foam Roller,4,26.11,104.44,False
2025-07-10,ORD-100165,Northeast,Online,Fitness,Jump Rope,3,20.83,62.49,False
2025-07-10,ORD-100166,Midwest,In-Store,Outdoor,Camping Lantern,5,37.35,183.01,False
2025-07-10,ORD-100167,Northeast,Online,Home,Air Purifier Filter,2,18.43,36.86,False
2025-07-10,ORD-100168,South,Wholesale,Home,Smart Plug,3,26.97,82.53,False
2025-07-10,ORD-100169,Midwest,In-Store,Home,Smart Plug,5,20.63,101.09,False
2025-07-10,ORD-100170,Midwest,Online,Outdoor,Water Bottle,2,31.47,61.68,True
2025-07-10,ORD-100171,Northeast,Online,Home,Kitchen Scale,5,18.98,94.9,False
2025-07-10,ORD-100172,West,In-Store,Fashion,Windbreaker,1,31.46,32.72,False
2025-07-10,ORD-100173,Midwest,Wholesale,Fashion,Socks Pack,4,34.62,135.71,False
2025-07-10,ORD-100174,West,In-Store,Electronics,USB-C Hub,4,53.63,223.1,False
2025-07-10,ORD-100175,Midwest,In-Store,Fashion,Hoodie,1,26.08,25.56,False
2025-07-11,ORD-100176,Northeast,In-Store,Fashion,Windbreaker,3,31.49,94.47,False
2025-07-11,ORD-100177,Midwest,Wholesale,Outdoor,Tent Repair Kit,2,29.02,56.88,False
2025-07-11,ORD-100178,West,In-Store,Electronics,Keyboard,4,54.06,224.89,False
2025-07-11,ORD-100179,Northeast,Wholesale,Fitness,Protein Shaker,2,29.44,58.88,False
2025-07-11,ORD-100180,Midwest,Online,Outdoor,Hiking Poles,1,33.87,33.19,False
2025-07-11,ORD-100181,South,Wholesale,Outdoor,Tent Repair Kit,5,31.05,158.35,False
2025-07-11,ORD-100182,West,In-Store,Electronics,USB-C Hub,3,50.86,158.68,False
2025-07-11,ORD-100183,South,Online,Electronics,Wireless Charger,1,44.67,45.56,False
2025-07-11,ORD-100184,Midwest,In-Store,Fashion,Hoodie,4,37.95,148.76,False
2025-07-11,ORD-100185,Midwest,Wholesale,Fitness,Resistance Bands,2,23.76,46.57,False
2025-07-11,ORD-100186,Northeast,In-Store,Outdoor,Camping Lantern,2,31.12,62.24,False
2025-07-11,ORD-100187,South,Wholesale,Outdoor,Trail Backpack,5,25.71,131.12,False
2025-07-11,ORD-100188,Northeast,Online,Fitness,Protein Shaker,3,30.68,92.04,False
2025-07-11,ORD-100189,Midwest,Online,Home,Smart Plug,5,18.2,89.18,False
2025-07-11,ORD-100190,West,Wholesale,Electronics,Keyboard,5,46.94,244.09,False
2025-07-11,ORD-100191,Midwest,In-Store,Electronics,USB-C Hub,3,52.79,155.2,False
2025-07-11,ORD-100192,Northeast,Online,Home,Kitchen Scale,5,18.26,91.3,False
2025-07-11,ORD-100193,South,Online,Fitness,Protein Shaker,3,21.65,66.25,False
2025-07-11,ORD-100194,West,Online,Home,Kitchen Scale,5,26.11,135.77,False
2025-07-11,ORD-100195,Northeast,Online,Electronics,USB-C Hub,4,36.46,145.84,False
2025-07-11,ORD-100196,Northeast,Wholesale,Electronics,Webcam,4,53.56,214.24,False
2025-07-11,ORD-100197,Midwest,In-Store,Outdoor,Water Bottle,2,34.74,68.09,False
2025-07-11,ORD-100198,Northeast,Online,Electronics,USB-C Hub,2,46.78,93.56,False
2025-07-11,ORD-100199,Midwest,In-Store,Fitness,Protein Shaker,2,24.58,48.18,False
2025-07-11,ORD-100200,Midwest,Wholesale,Fashion,Hoodie,3,29.79,87.58,False
2025-07-11,ORD-100201,South,Online,Outdoor,Camping Lantern,3,25.44,77.85,False
2025-07-11,ORD-100202,Midwest,Online,Electronics,Keyboard,5,54.81,268.57,False
2025-07-11,ORD-100203,Northeast,Wholesale,Fitness,Foam Roller,4,20.94,83.76,False
2025-07-11,ORD-100204,Northeast,In-Store,Fashion,Beanie,3,32.37,97.11,False
2025-07-11,ORD-100205,West,Online,Outdoor,Water Bottle,3,23.58,73.57,False
2025-07-11,ORD-100206,Midwest,Wholesale,Fashion,Windbreaker,4,31.63,123.99,False
2025-07-11,ORD-100207,Midwest,In-Store,Fashion,Hoodie,3,33.98,99.9,False
2025-07-11,ORD-100208,Midwest,In-Store,Outdoor,Water Bottle,1,30.17,29.57,False
2025-07-11,ORD-100209,South,Wholesale,Electronics,Keyboard,5,48.94,249.59,False
2025-07-11,ORD-100210,Northeast,In-Store,Electronics,Keyboard,3,52.8,158.4,False
2025-07-12,ORD-100211,Northeast,Online,Fitness,Resistance Bands,5,29.33,146.65,False
2025-07-12,ORD-100212,South,In-Store,Outdoor,Tent Repair Kit,2,36.52,74.5,False
2025-07-12,ORD-100213,West,Online,Fashion,Beanie,3,33.22,103.65,False
2025-07-12,ORD-100214,Northeast,Online,Fashion,Beanie,4,32.39,129.56,True
2025-07-12,ORD-100215,Northeast,Online,Home,Vacuum Filters,4,19.92,79.68,False
2025-07-12,ORD-100216,South,Online,Fitness,Resistance Bands,5,30.6,156.06,False
2025-07-12,ORD-100217,Midwest,Wholesale,Fitness,Jump Rope,2,28.21,55.29,False
2025-07-12,ORD-100218,South,Wholesale,Fashion,Hoodie,4,24.72,100.86,False
2025-07-12,ORD-100219,South,In-Store,Fashion,Socks Pack,4,27.86,113.67,False
2025-07-12,ORD-100220,West,Online,Fitness,Jump Rope,4,26.35,109.62,False
2025-07-12,ORD-100221,West,Wholesale,Fashion,Cap,2,37.48,77.96,False
2025-07-12,ORD-100222,South,In-Store,Outdoor,Hiking Poles,3,30.94,94.68,False
2025-07-12,ORD-100223,Midwest,In-Store,Outdoor,Camping Lantern,3,29.32,86.2,False
2025-07-12,ORD-100224,West,Online,Home,Kitchen Scale,3,28.86,90.04,False
2025-07-12,ORD-100225,West,Wholesale,Fitness,Foam Roller,4,33.67,140.07,False
2025-07-12,ORD-100226,Midwest,In-Store,Outdoor,Water Bottle,2,24.52,48.06,False
2025-07-12,ORD-100227,West,Wholesale,Home,Kitchen Scale,4,25.05,104.21,False
2025-07-12,ORD-100228,Midwest,In-Store,Home,Smart Plug,5,28.98,142.0,False
2025-07-12,ORD-100229,West,Online,Fitness,Foam Roller,3,21.68,67.64,False
2025-07-12,ORD-100230,West,Online,Outdoor,Hiking Poles,5,30.66,159.43,False
2025-07-12,ORD-100231,South,Wholesale,Home,Vacuum Filters,4,17.62,71.89,False
2025-07-12,ORD-100232,West,Online,Outdoor,Tent Repair Kit,3,23.44,73.13,False
2025-07-12,ORD-100233,Midwest,In-Store,Electronics,USB-C Hub,4,60.28,236.3,False
2025-07-12,ORD-100234,Midwest,In-Store,Outdoor,Water Bottle,2,33.69,66.03,False
2025-07-12,ORD-100235,Northeast,Online,Outdoor,Water Bottle,5,27.61,138.05,False
2025-07-12,ORD-100236,West,Wholesale,Electronics,Wireless Charger,2,37.56,78.12,False
2025-07-12,ORD-100237,West,Online,Fitness,Foam Roller,1,30.88,32.12,False
2025-07-12,ORD-100238,Northeast,In-Store,Fashion,Cap,5,31.81,159.05,False
2025-07-12,ORD-100239,South,In-Store,Fitness,Resistance Bands,3,23.76,72.71,False
2025-07-12,ORD-100240,West,In-Store,Electronics,Keyboard,3,60.1,187.51,False
2025-07-12,ORD-100241,West,In-Store,Fashion,Socks Pack,1,36.0,37.44,False
2025-07-12,ORD-100242,South,Wholesale,Fitness,Protein Shaker,1,21.1,21.52,False
2025-07-12,ORD-100243,Northeast,In-Store,Fashion,Cap,2,35.38,70.76,False
2025-07-12,ORD-100244,Midwest,Wholesale,Fitness,Jump Rope,4,23.78,93.22,False
2025-07-12,ORD-100245,Midwest,Online,Electronics,Bluetooth Speaker,5,55.83,273.57,False
2025-07-13,ORD-100246,Midwest,Online,Fashion,Cap,1,26.08,25.56,False
2025-07-13,ORD-100247,Northeast,In-Store,Electronics,Webcam,1,50.98,50.98,False
2025-07-13,ORD-100248,Northeast,In-Store,Electronics,USB-C Hub,5,39.41,197.05,False
2025-07-13,ORD-100249,Northeast,Wholesale,Fitness,Foam Roller,1,20.36,20.36,False
2025-07-13,ORD-100250,West,Wholesale,Outdoor,Water Bottle,3,33.24,103.71,False
2025-07-13,ORD-100251,Northeast,Wholesale,Electronics,Wireless Charger,1,39.36,39.36,False
2025-07-13,ORD-100252,South,Wholesale,Electronics,USB-C Hub,3,52.53,160.74,False
2025-07-13,ORD-100253,Northeast,In-Store,Home,Smart Plug,3,23.76,71.28,False
2025-07-13,ORD-100254,South,Online,Home,Kitchen Scale,1,21.97,22.41,False
2025-07-13,ORD-100255,West,Wholesale,Home,Air Purifier Filter,1,18.4,19.14,False
2025-07-13,ORD-100256,West,Wholesale,Electronics,Keyboard,5,37.83,196.72,False
2025-07-13,ORD-100257,Midwest,In-Store,Electronics,Webcam,3,39.18,115.19,False
2025-07-13,ORD-100258,South,Online,Electronics,Webcam,1,56.58,57.71,False
2025-07-13,ORD-100259,Northeast,Online,Home,Vacuum Filters,2,21.79,43.58,False
2025-07-13,ORD-100260,Northeast,Online,Fitness,Foam Roller,5,23.77,118.85,False
2025-07-13,ORD-100261,Midwest,Wholesale,Home,Air Purifier Filter,5,19.47,95.4,False
2025-07-13,ORD-100262,Northeast,Wholesale,Outdoor,Trail Backpack,1,23.1,23.1,False
2025-07-13,ORD-100263,Northeast,Wholesale,Home,Air Purifier Filter,4,25.08,100.32,False
2025-07-13,ORD-100264,Northeast,Wholesale,Fitness,Yoga Mat,2,31.06,62.12,False
2025-07-13,ORD-100265,Northeast,In-Store,Outdoor,Trail Backpack,2,29.17,58.34,False
2025-07-13,ORD-100266,South,In-Store,Fashion,Hoodie,3,38.21,116.92,False
2025-07-13,ORD-100267,Northeast,In-Store,Home,Vacuum Filters,5,24.4,122.0,False
2025-07-13,ORD-100268,West,Online,Fitness,Yoga Mat,2,21.94,45.64,False
2025-07-13,ORD-100269,West,Wholesale,Electronics,Wireless Charger,2,56.13,116.75,False
2025-07-13,ORD-100270,Northeast,Online,Home,Kitchen Scale,5,23.25,116.25,False
2025-07-13,ORD-100271,West,Online,Outdoor,Hiking Poles,5,29.44,153.09,False
2025-07-13,ORD-100272,Northeast,Online,Outdoor,Water Bottle,4,31.6,126.4,False
2025-07-13,ORD-100273,West,In-Store,Fashion,Beanie,1,31.11,32.35,False
2025-07-13,ORD-100274,Northeast,In-Store,Fitness,Resistance Bands,4,20.7,82.8,False
2025-07-13,ORD-100275,Northeast,Wholesale,Fitness,Resistance Bands,4,26.93,107.72,False
2025-07-13,ORD-100276,Northeast,Wholesale,Fashion,Beanie,2,40.09,80.18,False
2025-07-13,ORD-100277,Northeast,Wholesale,Fitness,Foam Roller,2,28.28,56.56,False
2025-07-13,ORD-100278,Midwest,Online,Outdoor,Camping Lantern,3,34.78,102.25,False
2025-07-13,ORD-100279,South,Wholesale,Fashion,Hoodie,3,39.37,120.47,False
2025-07-13,ORD-100280,West,Wholesale,Fitness,Jump Rope,3,26.98,84.18,False
2025-07-14,ORD-100281,West,Wholesale,Fashion,Socks Pack,4,37.46,155.83,False
2025-07-14,ORD-100282,Midwest,In-Store,Fashion,Socks Pack,1,33.85,33.17,False
2025-07-14,ORD-100283,South,Wholesale,Outdoor,Tent Repair Kit,4,25.03,102.12,False
2025-07-14,ORD-100284,West,Online,Home,LED Bulbs,5,29.07,151.16,False
2025-07-14,ORD-100285,Midwest,In-Store,Fitness,Yoga Mat,2,25.68,50.33,False
2025-07-14,ORD-100286,West,Wholesale,Outdoor,Camping Lantern,5,25.59,133.07,False
2025-07-14,ORD-100287,West,Wholesale,Electronics,Bluetooth Speaker,2,47.38,98.55,False
2025-07-14,ORD-100288,Northeast,Wholesale,Fitness,Jump Rope,4,22.64,90.56,False
2025-07-14,ORD-100289,Northeast,Online,Fitness,Protein Shaker,2,29.49,58.98,False
2025-07-14,ORD-100290,West,In-Store,Fashion,Socks Pack,3,26.01,81.15,False
2025-07-14,ORD-100291,West,In-Store,Fitness,Foam Roller,3,20.58,64.21,False
2025-07-14,ORD-100292,Midwest,In-Store,Electronics,Bluetooth Speaker,4,41.3,161.9,False
2025-07-14,ORD-100293,Northeast,Wholesale,Fitness,Foam Roller,1,28.47,28.47,False
2025-07-14,ORD-100294,South,Online,Fashion,Hoodie,2,24.87,50.73,False
2025-07-14,ORD-100295,West,Online,Home,LED Bulbs,5,29.43,153.04,False
2025-07-14,ORD-100296,West,In-Store,Home,Vacuum Filters,3,21.05,65.68,False
2025-07-14,ORD-100297,Midwest,Wholesale,Fashion,Hoodie,5,36.19,177.33,False
2025-07-14,ORD-100298,Midwest,Online,Electronics,Wireless Charger,1,60.68,59.47,False
